trcode,block,no,field,type,size,extra,descriptions
OVH,OutBlock,35,totofferrem,long,10,,매도호가총수량
OVH,OutBlock,36,totbidrem,long,10,,매수호가총수량
t8411,InBlock,1,shcode,char,6,,단축코드
t8411,InBlock,2,ncnt,long,4,,단위(n틱)
t8411,InBlock,3,qrycnt,long,4,,요청건수(최대-압축:2000비압축:500)
t8411,InBlock,4,nday,char,1,,조회영업일수(0:미사용1>=사용)
t8411,InBlock,5,sdate,char,8,,시작일자
t8411,InBlock,6,stime,char,6,,시작시간(현재미사용)
t8411,InBlock,7,edate,char,8,,종료일자
t8411,InBlock,8,etime,char,6,,종료시간(현재미사용)
t8411,InBlock,9,cts_date,char,8,,연속일자
t8411,InBlock,10,cts_time,char,10,,연속시간
t8411,InBlock,11,comp_yn,char,1,,압축여부(Y:압축N:비압축)
t8411,OutBlock,1,shcode,char,6,,단축코드
t8411,OutBlock,2,jisiga,long,8,,전일시가
t8411,OutBlock,3,jihigh,long,8,,전일고가
t8411,OutBlock,4,jilow,long,8,,전일저가
t8411,OutBlock,5,jiclose,long,8,,전일종가
t8411,OutBlock,6,jivolume,long,12,,전일거래량
t8411,OutBlock,7,disiga,long,8,,당일시가
t8411,OutBlock,8,dihigh,long,8,,당일고가
t8411,OutBlock,9,dilow,long,8,,당일저가
t8411,OutBlock,10,diclose,long,8,,당일종가
t8411,OutBlock,11,highend,long,8,,상한가
t8411,OutBlock,12,lowend,long,8,,하한가
t8411,OutBlock,13,cts_date,char,8,,연속일자
t8411,OutBlock,14,cts_time,char,10,,연속시간
t8411,OutBlock,15,s_time,char,6,,장시작시간(HHMMSS)
t8411,OutBlock,16,e_time,char,6,,장종료시간(HHMMSS)
t8411,OutBlock,17,dshmin,char,2,,동시호가처리시간(MM:분)
t8411,OutBlock,18,rec_count,long,7,,레코드카운트
t8411,OutBlock1,1,date,char,8,,날짜
t8411,OutBlock1,2,time,char,10,,시간
t8411,OutBlock1,3,open,long,8,,시가
t8411,OutBlock1,4,high,long,8,,고가
t8411,OutBlock1,5,low,long,8,,저가
t8411,OutBlock1,6,close,long,8,,종가
t8411,OutBlock1,7,jdiff_vol,long,12,,거래량
t8411,OutBlock1,8,jongchk,long,13,,수정구분
t8411,OutBlock1,9,rate,double,6.2,,수정비율
t8411,OutBlock1,10,pricechk,long,13,,수정주가반영항목
t8412,InBlock,1,shcode,char,6,,단축코드
t8412,InBlock,2,ncnt,long,4,,단위(n분)
t8412,InBlock,3,qrycnt,long,4,,요청건수(최대-압축:2000비압축:500)
t8412,InBlock,4,nday,char,1,,조회영업일수(0:미사용1>=사용)
t8412,InBlock,5,sdate,char,8,,시작일자
t8412,InBlock,6,stime,char,6,,시작시간(현재미사용)
t8412,InBlock,7,edate,char,8,,종료일자
t8412,InBlock,8,etime,char,6,,종료시간(현재미사용)
t8412,InBlock,9,cts_date,char,8,,연속일자
t8412,InBlock,10,cts_time,char,10,,연속시간
t8412,InBlock,11,comp_yn,char,1,,압축여부(Y:압축N:비압축)
t8412,OutBlock,1,shcode,char,6,,단축코드
t8412,OutBlock,2,jisiga,long,8,,전일시가
t8412,OutBlock,3,jihigh,long,8,,전일고가
t8412,OutBlock,4,jilow,long,8,,전일저가
t8412,OutBlock,5,jiclose,long,8,,전일종가
t8412,OutBlock,6,jivolume,long,12,,전일거래량
t8412,OutBlock,7,disiga,long,8,,당일시가
t8412,OutBlock,8,dihigh,long,8,,당일고가
t8412,OutBlock,9,dilow,long,8,,당일저가
t8412,OutBlock,10,diclose,long,8,,당일종가
t8412,OutBlock,11,highend,long,8,,상한가
t8412,OutBlock,12,lowend,long,8,,하한가
t8412,OutBlock,13,cts_date,char,8,,연속일자
t8412,OutBlock,14,cts_time,char,10,,연속시간
t8412,OutBlock,15,s_time,char,6,,장시작시간(HHMMSS)
t8412,OutBlock,16,e_time,char,6,,장종료시간(HHMMSS)
t8412,OutBlock,17,dshmin,char,2,,동시호가처리시간(MM:분)
t8412,OutBlock,18,rec_count,long,7,,레코드카운트
t8412,OutBlock1,1,date,char,8,,날짜
t8412,OutBlock1,2,time,char,10,,시간
t8412,OutBlock1,3,open,long,8,,시가
t8412,OutBlock1,4,high,long,8,,고가
t8412,OutBlock1,5,low,long,8,,저가
t8412,OutBlock1,6,close,long,8,,종가
t8412,OutBlock1,7,jdiff_vol,long,12,,거래량
t8412,OutBlock1,8,value,long,12,,거래대금
t8412,OutBlock1,9,jongchk,long,13,,수정구분
t8412,OutBlock1,10,rate,double,6.2,,수정비율
t8412,OutBlock1,11,sign,char,1,,종가등락구분(1:상한2:상승3:보합4:하한5:하락)
t8413,InBlock,1,shcode,char,6,,단축코드
t8413,InBlock,2,gubun,char,1,,주기구분(2:일3:주4:월)
t8413,InBlock,3,qrycnt,long,4,,요청건수(최대-압축:2000비압축:500)
t8413,InBlock,4,sdate,char,8,,시작일자
t8413,InBlock,5,edate,char,8,,종료일자
t8413,InBlock,6,cts_date,char,8,,연속일자
t8413,InBlock,7,comp_yn,char,1,,압축여부(Y:압축N:비압축)
t8413,OutBlock,1,shcode,char,6,,단축코드
t8413,OutBlock,2,jisiga,long,8,,전일시가
t8413,OutBlock,3,jihigh,long,8,,전일고가
t8413,OutBlock,4,jilow,long,8,,전일저가
t8413,OutBlock,5,jiclose,long,8,,전일종가
t8413,OutBlock,6,jivolume,long,12,,전일거래량
t8413,OutBlock,7,disiga,long,8,,당일시가
t8413,OutBlock,8,dihigh,long,8,,당일고가
t8413,OutBlock,9,dilow,long,8,,당일저가
t8413,OutBlock,10,diclose,long,8,,당일종가
t8413,OutBlock,11,highend,long,8,,상한가
t8413,OutBlock,12,lowend,long,8,,하한가
t8413,OutBlock,13,cts_date,char,8,,연속일자
t8413,OutBlock,14,s_time,char,6,,장시작시간(HHMMSS)
t8413,OutBlock,15,e_time,char,6,,장종료시간(HHMMSS)
t8413,OutBlock,16,dshmin,char,2,,동시호가처리시간(MM:분)
t8413,OutBlock,17,rec_count,long,7,,레코드카운트
t8413,OutBlock1,1,date,char,8,,날짜
t8413,OutBlock1,2,open,long,8,,시가
t8413,OutBlock1,3,high,long,8,,고가
t8413,OutBlock1,4,low,long,8,,저가
t8413,OutBlock1,5,close,long,8,,종가
t8413,OutBlock1,6,jdiff_vol,long,12,,거래량
t8413,OutBlock1,7,value,long,12,,거래대금
t8413,OutBlock1,8,jongchk,long,13,,수정구분
t8413,OutBlock1,9,rate,double,6.2,,수정비율
t8413,OutBlock1,10,pricechk,long,13,,수정주가반영항목
t8413,OutBlock1,11,ratevalue,long,12,,수정비율반영거래대금
t8413,OutBlock1,12,sign,char,1,,종가등락구분(1:상한2:상승3:보합4:하한5:하락주식일만사용)
H1_,InBlock,1,shcode,char,6,,단축코드
H1_,OutBlock,1,hotime,char,6,,호가시간
H1_,OutBlock,2,offerho1,long,7,,매도호가1
H1_,OutBlock,3,bidho1,long,7,,매수호가1
H1_,OutBlock,4,offerrem1,long,9,,매도호가잔량1
H1_,OutBlock,5,bidrem1,long,9,,매수호가잔량1
H1_,OutBlock,6,offerho2,long,7,,매도호가2
H1_,OutBlock,7,bidho2,long,7,,매수호가2
H1_,OutBlock,8,offerrem2,long,9,,매도호가잔량2
H1_,OutBlock,9,bidrem2,long,9,,매수호가잔량2
H1_,OutBlock,10,offerho3,long,7,,매도호가3
H1_,OutBlock,11,bidho3,long,7,,매수호가3
H1_,OutBlock,12,offerrem3,long,9,,매도호가잔량3
H1_,OutBlock,13,bidrem3,long,9,,매수호가잔량3
H1_,OutBlock,14,offerho4,long,7,,매도호가4
H1_,OutBlock,15,bidho4,long,7,,매수호가4
H1_,OutBlock,16,offerrem4,long,9,,매도호가잔량4
H1_,OutBlock,17,bidrem4,long,9,,매수호가잔량4
H1_,OutBlock,18,offerho5,long,7,,매도호가5
H1_,OutBlock,19,bidho5,long,7,,매수호가5
H1_,OutBlock,20,offerrem5,long,9,,매도호가잔량5
H1_,OutBlock,21,bidrem5,long,9,,매수호가잔량5
H1_,OutBlock,22,offerho6,long,7,,매도호가6
H1_,OutBlock,23,bidho6,long,7,,매수호가6
H1_,OutBlock,24,offerrem6,long,9,,매도호가잔량6
H1_,OutBlock,25,bidrem6,long,9,,매수호가잔량6
H1_,OutBlock,26,offerho7,long,7,,매도호가7
H1_,OutBlock,27,bidho7,long,7,,매수호가7
H1_,OutBlock,28,offerrem7,long,9,,매도호가잔량7
H1_,OutBlock,29,bidrem7,long,9,,매수호가잔량7
H1_,OutBlock,30,offerho8,long,7,,매도호가8
H1_,OutBlock,31,bidho8,long,7,,매수호가8
H1_,OutBlock,32,offerrem8,long,9,,매도호가잔량8
H1_,OutBlock,33,bidrem8,long,9,,매수호가잔량8
H1_,OutBlock,34,offerho9,long,7,,매도호가9
H1_,OutBlock,35,bidho9,long,7,,매수호가9
H1_,OutBlock,36,offerrem9,long,9,,매도호가잔량9
H1_,OutBlock,37,bidrem9,long,9,,매수호가잔량9
H1_,OutBlock,38,offerho10,long,7,,매도호가10
H1_,OutBlock,39,bidho10,long,7,,매수호가10
H1_,OutBlock,40,offerrem10,long,9,,매도호가잔량10
H1_,OutBlock,41,bidrem10,long,9,,매수호가잔량10
H1_,OutBlock,42,totofferrem,long,9,,총매도호가잔량
H1_,OutBlock,43,totbidrem,long,9,,총매수호가잔량
H1_,OutBlock,44,donsigubun,char,1,,동시호가구분
H1_,OutBlock,45,shcode,char,6,,단축코드
H1_,OutBlock,46,alloc_gubun,char,1,,배분적용구분
S3_,InBlock,1,shcode,char,6,,단축코드
S3_,OutBlock,1,chetime,char,6,,체결시간
S3_,OutBlock,2,sign,char,1,,전일대비구분
S3_,OutBlock,3,change,long,8,,전일대비
S3_,OutBlock,4,drate,float,6.2,,등락율
S3_,OutBlock,5,price,long,8,,현재가
S3_,OutBlock,6,opentime,char,6,,시가시간
S3_,OutBlock,7,open,long,8,,시가
S3_,OutBlock,8,hightime,char,6,,고가시간
S3_,OutBlock,9,high,long,8,,고가
S3_,OutBlock,10,lowtime,char,6,,저가시간
S3_,OutBlock,11,low,long,8,,저가
S3_,OutBlock,12,cgubun,char,1,,체결구분
S3_,OutBlock,13,cvolume,long,8,,체결량
S3_,OutBlock,14,volume,long,12,,누적거래량
S3_,OutBlock,15,value,long,12,,누적거래대금
S3_,OutBlock,16,mdvolume,long,12,,매도누적체결량
S3_,OutBlock,17,mdchecnt,long,8,,매도누적체결건수
S3_,OutBlock,18,msvolume,long,12,,매수누적체결량
S3_,OutBlock,19,mschecnt,long,8,,매수누적체결건수
S3_,OutBlock,20,cpower,float,9.2,,체결강도
S3_,OutBlock,21,w_avrg,long,8,,가중평균가
S3_,OutBlock,22,offerho,long,8,,매도호가
S3_,OutBlock,23,bidho,long,8,,매수호가
S3_,OutBlock,24,status,char,2,,장정보
S3_,OutBlock,25,jnilvolume,long,12,,전일동시간대거래량
S3_,OutBlock,26,shcode,char,6,,단축코드
t1411,InBlock,1,gubun,char,1,,시장구분
t1411,InBlock,2,jongchk,char,1,,위탁신용구분
t1411,InBlock,3,jkrate,char,1,,증거금율구분
t1411,InBlock,4,shcode,char,6,,종목코드
t1411,InBlock,5,qidx,long,4,,IDX
t1411,OutBlock,1,jkrate,long,3,,위탁증거금율
t1411,OutBlock,2,sjkrate,long,3,,신용증거금율
t1411,OutBlock,3,qidx,long,4,,IDX
t1411,OutBlock1,1,shcode,char,6,,종목코드
t1411,OutBlock1,2,hname,char,20,,종목명
t1411,OutBlock1,3,jkrate,long,3,,위탁증거금율
t1411,OutBlock1,4,sjkrate,long,3,,신용증거금율
t1411,OutBlock1,5,subprice,long,8,,대용가
t1411,OutBlock1,6,recprice,long,8,,전일종가
t1411,OutBlock1,7,price,long,8,,현재가
t1411,OutBlock1,8,sign,char,1,,전일대비구분
t1411,OutBlock1,9,change,long,8,,전일대비
t1411,OutBlock1,10,diff,float,6.2,,등락율
t1411,OutBlock1,11,volume,long,12,,누적거래량
HA_,InBlock,1,shcode,char,6,,단축코드
HA_,OutBlock,1,hotime,char,6,,호가시간
HA_,OutBlock,2,offerho1,long,7,,매도호가1
HA_,OutBlock,3,bidho1,long,7,,매수호가1
HA_,OutBlock,4,offerrem1,long,9,,매도호가잔량1
HA_,OutBlock,5,bidrem1,long,9,,매수호가잔량1
HA_,OutBlock,6,offerho2,long,7,,매도호가2
HA_,OutBlock,7,bidho2,long,7,,매수호가2
HA_,OutBlock,8,offerrem2,long,9,,매도호가잔량2
HA_,OutBlock,9,bidrem2,long,9,,매수호가잔량2
HA_,OutBlock,10,offerho3,long,7,,매도호가3
HA_,OutBlock,11,bidho3,long,7,,매수호가3
HA_,OutBlock,12,offerrem3,long,9,,매도호가잔량3
HA_,OutBlock,13,bidrem3,long,9,,매수호가잔량3
HA_,OutBlock,14,offerho4,long,7,,매도호가4
HA_,OutBlock,15,bidho4,long,7,,매수호가4
HA_,OutBlock,16,offerrem4,long,9,,매도호가잔량4
HA_,OutBlock,17,bidrem4,long,9,,매수호가잔량4
HA_,OutBlock,18,offerho5,long,7,,매도호가5
HA_,OutBlock,19,bidho5,long,7,,매수호가5
HA_,OutBlock,20,offerrem5,long,9,,매도호가잔량5
HA_,OutBlock,21,bidrem5,long,9,,매수호가잔량5
HA_,OutBlock,22,offerho6,long,7,,매도호가6
HA_,OutBlock,23,bidho6,long,7,,매수호가6
HA_,OutBlock,24,offerrem6,long,9,,매도호가잔량6
HA_,OutBlock,25,bidrem6,long,9,,매수호가잔량6
HA_,OutBlock,26,offerho7,long,7,,매도호가7
HA_,OutBlock,27,bidho7,long,7,,매수호가7
HA_,OutBlock,28,offerrem7,long,9,,매도호가잔량7
HA_,OutBlock,29,bidrem7,long,9,,매수호가잔량7
HA_,OutBlock,30,offerho8,long,7,,매도호가8
HA_,OutBlock,31,bidho8,long,7,,매수호가8
HA_,OutBlock,32,offerrem8,long,9,,매도호가잔량8
HA_,OutBlock,33,bidrem8,long,9,,매수호가잔량8
HA_,OutBlock,34,offerho9,long,7,,매도호가9
HA_,OutBlock,35,bidho9,long,7,,매수호가9
HA_,OutBlock,36,offerrem9,long,9,,매도호가잔량9
HA_,OutBlock,37,bidrem9,long,9,,매수호가잔량9
HA_,OutBlock,38,offerho10,long,7,,매도호가10
HA_,OutBlock,39,bidho10,long,7,,매수호가10
HA_,OutBlock,40,offerrem10,long,9,,매도호가잔량10
HA_,OutBlock,41,bidrem10,long,9,,매수호가잔량10
HA_,OutBlock,42,totofferrem,long,9,,총매도호가잔량
HA_,OutBlock,43,totbidrem,long,9,,총매수호가잔량
HA_,OutBlock,44,donsigubun,char,1,,동시호가구분
HA_,OutBlock,45,shcode,char,6,,단축코드
HA_,OutBlock,46,alloc_gubun,char,1,,배분적용구분
K3_,InBlock,1,shcode,char,6,,단축코드
K3_,OutBlock,1,chetime,char,6,,체결시간
K3_,OutBlock,2,sign,char,1,,전일대비구분
K3_,OutBlock,3,change,long,8,,전일대비
K3_,OutBlock,4,drate,float,6.2,,등락율
K3_,OutBlock,5,price,long,8,,현재가
K3_,OutBlock,6,opentime,char,6,,시가시간
K3_,OutBlock,7,open,long,8,,시가
K3_,OutBlock,8,hightime,char,6,,고가시간
K3_,OutBlock,9,high,long,8,,고가
K3_,OutBlock,10,lowtime,char,6,,저가시간
K3_,OutBlock,11,low,long,8,,저가
K3_,OutBlock,12,cgubun,char,1,,체결구분
K3_,OutBlock,13,cvolume,long,8,,체결량
K3_,OutBlock,14,volume,long,12,,누적거래량
K3_,OutBlock,15,value,long,12,,누적거래대금
K3_,OutBlock,16,mdvolume,long,12,,매도누적체결량
K3_,OutBlock,17,mdchecnt,long,8,,매도누적체결건수
K3_,OutBlock,18,msvolume,long,12,,매수누적체결량
K3_,OutBlock,19,mschecnt,long,8,,매수누적체결건수
K3_,OutBlock,20,cpower,float,9.2,,체결강도
K3_,OutBlock,21,w_avrg,long,8,,가중평균가
K3_,OutBlock,22,offerho,long,8,,매도호가
K3_,OutBlock,23,bidho,long,8,,매수호가
K3_,OutBlock,24,status,char,2,,장정보
K3_,OutBlock,25,jnilvolume,long,12,,전일동시간대거래량
K3_,OutBlock,26,shcode,char,6,,단축코드
t1305,InBlock,1,shcode,char,6,,단축코드
t1305,InBlock,2,dwmcode,long,1,,일주월구분
t1305,InBlock,3,date,char,8,,날짜
t1305,InBlock,4,idx,long,4,,IDX
t1305,InBlock,5,cnt,long,4,,건수
t1305,OutBlock,1,cnt,long,4,,CNT
t1305,OutBlock,2,date,char,8,,날짜
t1305,OutBlock,3,idx,long,4,,IDX
t1305,OutBlock1,1,date,char,8,,날짜
t1305,OutBlock1,2,open,long,8,,시가
t1305,OutBlock1,3,high,long,8,,고가
t1305,OutBlock1,4,low,long,8,,저가
t1305,OutBlock1,5,close,long,8,,종가
t1305,OutBlock1,6,sign,char,1,,전일대비구분
t1305,OutBlock1,7,change,long,8,,전일대비
t1305,OutBlock1,8,diff,float,6.2,,등락율
t1305,OutBlock1,9,volume,long,12,,누적거래량
t1305,OutBlock1,10,diff_vol,float,10.2,,거래증가율
t1305,OutBlock1,11,chdegree,float,6.2,,체결강도
t1305,OutBlock1,12,sojinrate,float,6.2,,소진율
t1305,OutBlock1,13,changerate,float,6.2,,회전율
t1305,OutBlock1,14,fpvolume,long,12,,외인순매수
t1305,OutBlock1,15,covolume,long,12,,기관순매수
t1305,OutBlock1,16,shcode,char,6,,종목코드
t1305,OutBlock1,17,value,long,12,,누적거래대금(단위:백만)
t1305,OutBlock1,18,ppvolume,long,12,,개인순매수
t1305,OutBlock1,19,o_sign,char,1,,시가대비구분
t1305,OutBlock1,20,o_change,long,8,,시가대비
t1305,OutBlock1,21,o_diff,float,6.2,,시가기준등락율
t1305,OutBlock1,22,h_sign,char,1,,고가대비구분
t1305,OutBlock1,23,h_change,long,8,,고가대비
t1305,OutBlock1,24,h_diff,float,6.2,,고가기준등락율
t1305,OutBlock1,25,l_sign,char,1,,저가대비구분
t1305,OutBlock1,26,l_change,long,8,,저가대비
t1305,OutBlock1,27,l_diff,float,6.2,,저가기준등락율
t1305,OutBlock1,28,marketcap,long,12,,시가총액(단위:백만)
t8430,InBlock,1,gubun,char,1,,구분(0:전체1:코스피2:코스닥)
t8430,OutBlock,1,hname,char,20,,종목명
t8430,OutBlock,2,shcode,char,6,,단축코드
t8430,OutBlock,3,expcode,char,12,,확장코드
t8430,OutBlock,4,etfgubun,char,1,,ETF구분(1:ETF)
t8430,OutBlock,5,uplmtprice,long,8,,상한가
t8430,OutBlock,6,dnlmtprice,long,8,,하한가
t8430,OutBlock,7,jnilclose,long,8,,전일가
t8430,OutBlock,8,memedan,char,5,,주문수량단위
t8430,OutBlock,9,recprice,long,8,,기준가
t8430,OutBlock,10,gubun,char,1,,구분(1:코스피2:코스닥)
t1302,InBlock,1,shcode,char,6,,단축코드
t1302,InBlock,2,gubun,char,1,,작업구분
t1302,InBlock,3,time,char,6,,시간
t1302,InBlock,4,cnt,int,3,,건수
t1302,OutBlock,1,cts_time,char,6,,시간CTS
t1302,OutBlock1,1,chetime,char,6,,시간
t1302,OutBlock1,2,close,long,8,,종가
t1302,OutBlock1,3,sign,char,1,,전일대비구분
t1302,OutBlock1,4,change,long,8,,전일대비
t1302,OutBlock1,5,diff,float,6.2,,등락율
t1302,OutBlock1,6,chdegree,float,8.2,,체결강도
t1302,OutBlock1,7,mdvolume,long,12,,매도체결수량
t1302,OutBlock1,8,msvolume,long,12,,매수체결수량
t1302,OutBlock1,9,revolume,long,12,,순매수체결량
t1302,OutBlock1,10,mdchecnt,long,8,,매도체결건수
t1302,OutBlock1,11,mschecnt,long,8,,매수체결건수
t1302,OutBlock1,12,rechecnt,long,8,,순체결건수
t1302,OutBlock1,13,volume,long,12,,거래량
t1302,OutBlock1,14,open,long,8,,시가
t1302,OutBlock1,15,high,long,8,,고가
t1302,OutBlock1,16,low,long,8,,저가
t1302,OutBlock1,17,cvolume,long,12,,체결량
t1302,OutBlock1,18,mdchecnttm,long,8,,매도체결건수(시간)
t1302,OutBlock1,19,mschecnttm,long,8,,매수체결건수(시간)
t1302,OutBlock1,20,totofferrem,long,12,,매도잔량
t1302,OutBlock1,21,totbidrem,long,12,,매수잔량
t1302,OutBlock1,22,mdvolumetm,long,12,,시간별매도체결량
t1302,OutBlock1,23,msvolumetm,long,12,,시간별매수체결량
BMT,InBlock,1,upcode,char,3,,업종코드
BMT,OutBlock,1,tjjtime,char,8,,수신시간
BMT,OutBlock,2,tjjcode1,char,4,,투자자코드1(개인)
BMT,OutBlock,3,msvolume1,long,8,,매수거래량1
BMT,OutBlock,4,mdvolume1,long,8,,매도거래량1
BMT,OutBlock,5,msvol1,long,8,,거래량순매수1
BMT,OutBlock,6,msvalue1,long,6,,매수거래대금1
BMT,OutBlock,7,mdvalue1,long,6,,매도거래대금1
BMT,OutBlock,8,msval1,long,6,,거래대금순매수1
BMT,OutBlock,9,tjjcode2,char,4,,투자자코드2(외국인)
BMT,OutBlock,10,msvolume2,long,8,,매수거래량2
BMT,OutBlock,11,mdvolume2,long,8,,매도거래량2
BMT,OutBlock,12,msvol2,long,8,,거래량순매수2
BMT,OutBlock,13,msvalue2,long,6,,매수거래대금2
BMT,OutBlock,14,mdvalue2,long,6,,매도거래대금2
BMT,OutBlock,15,msval2,long,6,,거래대금순매수2
BMT,OutBlock,16,tjjcode3,char,4,,투자자코드3(기관계)
BMT,OutBlock,17,msvolume3,long,8,,매수거래량3
BMT,OutBlock,18,mdvolume3,long,8,,매도거래량3
BMT,OutBlock,19,msvol3,long,8,,거래량순매수3
BMT,OutBlock,20,msvalue3,long,6,,매수거래대금3
BMT,OutBlock,21,mdvalue3,long,6,,매도거래대금3
BMT,OutBlock,22,msval3,long,6,,거래대금순매수3
BMT,OutBlock,23,tjjcode4,char,4,,투자자코드4(증권)
BMT,OutBlock,24,msvolume4,long,8,,매수거래량4
BMT,OutBlock,25,mdvolume4,long,8,,매도거래량4
BMT,OutBlock,26,msvol4,long,8,,거래량순매수4
BMT,OutBlock,27,msvalue4,long,6,,매수거래대금4
BMT,OutBlock,28,mdvalue4,long,6,,매도거래대금4
BMT,OutBlock,29,msval4,long,6,,거래대금순매수4
BMT,OutBlock,30,tjjcode5,char,4,,투자자코드5(투신)
BMT,OutBlock,31,msvolume5,long,8,,매수거래량5
BMT,OutBlock,32,mdvolume5,long,8,,매도거래량5
BMT,OutBlock,33,msvol5,long,8,,거래량순매수5
BMT,OutBlock,34,msvalue5,long,6,,매수거래대금5
BMT,OutBlock,35,mdvalue5,long,6,,매도거래대금5
BMT,OutBlock,36,msval5,long,6,,거래대금순매수5
BMT,OutBlock,37,tjjcode6,char,4,,투자자코드6(은행)
BMT,OutBlock,38,msvolume6,long,8,,매수거래량6
BMT,OutBlock,39,mdvolume6,long,8,,매도거래량6
BMT,OutBlock,40,msvol6,long,8,,거래량순매수6
BMT,OutBlock,41,msvalue6,long,6,,매수거래대금6
BMT,OutBlock,42,mdvalue6,long,6,,매도거래대금6
BMT,OutBlock,43,msval6,long,6,,거래대금순매수6
BMT,OutBlock,44,tjjcode7,char,4,,투자자코드7(보험)
BMT,OutBlock,45,msvolume7,long,8,,매수거래량7
BMT,OutBlock,46,mdvolume7,long,8,,매도거래량7
BMT,OutBlock,47,msvol7,long,8,,거래량순매수7
BMT,OutBlock,48,msvalue7,long,6,,매수거래대금7
BMT,OutBlock,49,mdvalue7,long,6,,매도거래대금7
BMT,OutBlock,50,msval7,long,6,,거래대금순매수7
BMT,OutBlock,51,tjjcode8,char,4,,투자자코드8(종금)
BMT,OutBlock,52,msvolume8,long,8,,매수거래량8
BMT,OutBlock,53,mdvolume8,long,8,,매도거래량8
BMT,OutBlock,54,msvol8,long,8,,거래량순매수8
BMT,OutBlock,55,msvalue8,long,6,,매수거래대금8
BMT,OutBlock,56,mdvalue8,long,6,,매도거래대금8
BMT,OutBlock,57,msval8,long,6,,거래대금순매수8
BMT,OutBlock,58,tjjcode9,char,4,,투자자코드9(기금)
BMT,OutBlock,59,msvolume9,long,8,,매수거래량9
BMT,OutBlock,60,mdvolume9,long,8,,매도거래량9
BMT,OutBlock,61,msvol9,long,8,,거래량순매수9
BMT,OutBlock,62,msvalue9,long,6,,매수거래대금9
BMT,OutBlock,63,mdvalue9,long,6,,매도거래대금9
BMT,OutBlock,64,msval9,long,6,,거래대금순매수9
BMT,OutBlock,65,tjjcode10,char,4,,투자자코드10(선물업자)
BMT,OutBlock,66,msvolume10,long,8,,매수거래량10
BMT,OutBlock,67,mdvolume10,long,8,,매도거래량10
